"search-number","evaluation","evals-requested-so-far","power-plants*","initial-population*","birth-rate*","polluting-rate*","planting-rate*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","400","13","30","0.1","3","0.09","""-770784177""","-1538","-1538","-1538","0","-1538"
"1","2","400","13","30","0.1","3","0.09","""-2076887346""","-109","-109","-109","0","-109"
"1","3","400","13","30","0.1","3","0.09","""1218822645""","-2519","-2519","-2519","0","-2519"
"1","4","400","13","30","0.1","3","0.09","""-1401663380""","-577","-577","-577","0","-577"
"1","5","400","13","30","0.1","3","0.09","""-435749379""","-3748","-3748","-3748","0","-3748"
"1","6","400","13","30","0.1","3","0.09","""1516499248""","-1938","-1938","-1938","0","-1938"
"1","7","400","13","30","0.1","3","0.09","""-1143699295""","-1146","-1146","-1146","0","-1146"
"1","8","400","13","30","0.1","3","0.09","""-961798446""","-3435","-3435","-3435","0","-3435"
"1","9","400","2","30","0.1","3","0.07","""286497367""","-105","-105","-105","0","-105"
"1","10","400","2","30","0.1","3","0.07","""-1111294439""","-720","-720","-720","0","-720"
"1","11","400","2","30","0.1","3","0.07","""2098264704""","-65","-65","-65","0","-65"
"1","12","400","2","30","0.1","3","0.07","""776831272""","-184","-184","-184","0","-184"
"1","13","400","2","30","0.1","3","0.07","""-617013904""","-71","-71","-71","0","-71"
"1","14","400","2","30","0.1","3","0.07","""1090273074""","-63","-63","-63","0","-63"
"1","15","400","2","30","0.1","3","0.07","""595727206""","-444","-444","-444","0","-444"
"1","16","400","2","30","0.1","3","0.07","""225493355""","-124","-124","-124","0","-124"
"1","17","400","13","30","0.1","3","0.04","""602364225""","-32","-32","-32","0","-32"
"1","18","400","13","30","0.1","3","0.04","""2135372296""","402","402","402","0","402"
"1","19","400","13","30","0.1","3","0.04","""712090152""","732","732","732","0","732"
"1","20","400","13","30","0.1","3","0.04","""-1614783302""","968","968","968","0","968"
"1","21","400","13","30","0.1","3","0.04","""1707642503""","1543","1543","1543","0","1543"
"1","22","400","13","30","0.1","3","0.04","""-878803099""","74","74","74","0","74"
"1","23","400","13","30","0.1","3","0.04","""1294162009""","-66","-66","-66","0","-66"
"1","24","400","13","30","0.1","3","0.04","""-788803602""","1566","1566","1566","0","1566"
"1","25","400","3","30","0.1","3","0.02","""-319574166""","252","252","252","0","252"
"1","26","400","3","30","0.1","3","0.02","""68500775""","-6","-6","-6","0","-6"
"1","27","400","3","30","0.1","3","0.02","""-1438398450""","-12","-12","-12","0","-12"
"1","28","400","3","30","0.1","3","0.02","""-1524485515""","531","531","531","0","531"
"1","29","400","3","30","0.1","3","0.02","""-906283341""","-27","-27","-27","0","-27"
"1","30","400","3","30","0.1","3","0.02","""275854746""","241","241","241","0","241"
"1","31","400","3","30","0.1","3","0.02","""1700361677""","240","240","240","0","240"
"1","32","400","3","30","0.1","3","0.02","""-2139079390""","1099","1099","1099","0","1099"
"1","33","400","14","30","0.1","3","0.04","""1978968134""","-134","-134","-134","0","-134"
"1","34","400","14","30","0.1","3","0.04","""1313170600""","28","28","28","0","28"
"1","35","400","14","30","0.1","3","0.04","""1729640034""","278","278","278","0","278"
"1","36","400","14","30","0.1","3","0.04","""1758382763""","684","684","684","0","684"
"1","37","400","14","30","0.1","3","0.04","""-257254961""","425","425","425","0","425"
"1","38","400","14","30","0.1","3","0.04","""1962364092""","208","208","208","0","208"
"1","39","400","14","30","0.1","3","0.04","""-1389464627""","296","296","296","0","296"
"1","40","400","14","30","0.1","3","0.04","""1860084315""","107","107","107","0","107"
"1","41","400","3","30","0.1","3","0.03","""-899933053""","-64","-64","-64","0","-64"
"1","42","400","3","30","0.1","3","0.03","""-1078853871""","348","348","348","0","348"
"1","43","400","3","30","0.1","3","0.03","""2033191269""","279","279","279","0","279"
"1","44","400","3","30","0.1","3","0.03","""-1088552412""","146","146","146","0","146"
"1","45","400","3","30","0.1","3","0.03","""1342917096""","-1","-1","-1","0","-1"
"1","46","400","3","30","0.1","3","0.03","""-133023226""","-132","-132","-132","0","-132"
"1","47","400","3","30","0.1","3","0.03","""597424697""","680","680","680","0","680"
"1","48","400","3","30","0.1","3","0.03","""320967885""","239","239","239","0","239"
"1","49","400","7","30","0.1","3","0.02","""-1187939116""","380","380","380","0","380"
"1","50","400","7","30","0.1","3","0.02","""771923002""","472","472","472","0","472"
"1","51","400","7","30","0.1","3","0.02","""1447345298""","257","257","257","0","257"
"1","52","400","7","30","0.1","3","0.02","""-1956144423""","574","574","574","0","574"
"1","53","400","7","30","0.1","3","0.02","""-584775301""","338","338","338","0","338"
"1","54","400","7","30","0.1","3","0.02","""56965015""","254","254","254","0","254"
"1","55","400","7","30","0.1","3","0.02","""749025858""","234","234","234","0","234"
"1","56","400","7","30","0.1","3","0.02","""-2102101778""","377","377","377","0","377"
"1","57","400","17","30","0.1","3","0.07","""-2015202073""","-68","-68","-68","0","-68"
"1","58","400","17","30","0.1","3","0.07","""1023889503""","-1064","-1064","-1064","0","-1064"
"1","59","400","17","30","0.1","3","0.07","""185337706""","-3514","-3514","-3514","0","-3514"
"1","60","400","17","30","0.1","3","0.07","""-1081980436""","-94","-94","-94","0","-94"
"1","61","400","17","30","0.1","3","0.07","""-2092745810""","-48","-48","-48","0","-48"
"1","62","400","17","30","0.1","3","0.07","""-1902456369""","-991","-991","-991","0","-991"
"1","63","400","17","30","0.1","3","0.07","""-1831987879""","-437","-437","-437","0","-437"
"1","64","400","17","30","0.1","3","0.07","""-568491838""","-5588","-5588","-5588","0","-5588"
"1","65","400","6","30","0.1","3","0.04","""-1850341364""","61","61","61","0","61"
"1","66","400","6","30","0.1","3","0.04","""1836969674""","-4","-4","-4","0","-4"
"1","67","400","6","30","0.1","3","0.04","""530402120""","229","229","229","0","229"
"1","68","400","6","30","0.1","3","0.04","""1294108732""","-249","-249","-249","0","-249"
"1","69","400","6","30","0.1","3","0.04","""-1163133152""","-115","-115","-115","0","-115"
"1","70","400","6","30","0.1","3","0.04","""-1018136067""","128","128","128","0","128"
"1","71","400","6","30","0.1","3","0.04","""1857665521""","-20","-20","-20","0","-20"
"1","72","400","6","30","0.1","3","0.04","""-723032948""","-5","-5","-5","0","-5"
"1","73","400","15","30","0.1","3","0.02","""1389855192""","19","19","19","0","19"
"1","74","400","15","30","0.1","3","0.02","""-1496104294""","1088","1088","1088","0","1088"
"1","75","400","15","30","0.1","3","0.02","""785449496""","290","290","290","0","290"
"1","76","400","15","30","0.1","3","0.02","""-873880718""","99","99","99","0","99"
"1","77","400","15","30","0.1","3","0.02","""-2029100677""","61","61","61","0","61"
"1","78","400","15","30","0.1","3","0.02","""1988013012""","839","839","839","0","839"
"1","79","400","15","30","0.1","3","0.02","""-1307778811""","2234","2234","2234","0","2234"
"1","80","400","15","30","0.1","3","0.02","""-981152676""","512","512","512","0","512"
"1","81","400","5","30","0.1","3","0.1","""-1888308026""","-1484","-1484","-1484","0","-1484"
"1","82","400","5","30","0.1","3","0.1","""1132723686""","-176","-176","-176","0","-176"
"1","83","400","5","30","0.1","3","0.1","""1422810785""","-118","-118","-118","0","-118"
"1","84","400","5","30","0.1","3","0.1","""8379647""","-3113","-3113","-3113","0","-3113"
"1","85","400","5","30","0.1","3","0.1","""173174341""","-3354","-3354","-3354","0","-3354"
"1","86","400","5","30","0.1","3","0.1","""-820410856""","-610","-610","-610","0","-610"
"1","87","400","5","30","0.1","3","0.1","""126328925""","-912","-912","-912","0","-912"
"1","88","400","5","30","0.1","3","0.1","""-1607898363""","-78","-78","-78","0","-78"
"1","89","400","11","30","0.1","3","0.01","""1388552063""","-13","-13","-13","0","-13"
"1","90","400","11","30","0.1","3","0.01","""-1298756075""","-7","-7","-7","0","-7"
"1","91","400","11","30","0.1","3","0.01","""-1178966141""","-13","-13","-13","0","-13"
"1","92","400","11","30","0.1","3","0.01","""-368296857""","6","6","6","0","6"
"1","93","400","11","30","0.1","3","0.01","""2025727561""","2945","2945","2945","0","2945"
"1","94","400","11","30","0.1","3","0.01","""1662435036""","610","610","610","0","610"
"1","95","400","11","30","0.1","3","0.01","""77492674""","89","89","89","0","89"
"1","96","400","11","30","0.1","3","0.01","""-2006461228""","98","98","98","0","98"
"1","97","400","1","30","0.1","3","0","""2081192829""","376","376","376","0","376"
"1","98","400","1","30","0.1","3","0","""-703812999""","130","130","130","0","130"
"1","99","400","1","30","0.1","3","0","""-532344304""","48","48","48","0","48"
"1","100","400","1","30","0.1","3","0","""-701908121""","226","226","226","0","226"
"1","101","400","1","30","0.1","3","0","""808828400""","0","0","0","0","0"
"1","102","400","1","30","0.1","3","0","""39369361""","1722","1722","1722","0","1722"
"1","103","400","1","30","0.1","3","0","""1372494592""","0","0","0","0","0"
"1","104","400","1","30","0.1","3","0","""-1822797918""","548","548","548","0","548"
"1","105","400","10","30","0.1","3","0.08","""280609037""","-1260","-1260","-1260","0","-1260"
"1","106","400","10","30","0.1","3","0.08","""-1901190916""","-2110","-2110","-2110","0","-2110"
"1","107","400","10","30","0.1","3","0.08","""-1662115583""","-1999","-1999","-1999","0","-1999"
"1","108","400","10","30","0.1","3","0.08","""-115863162""","-2024","-2024","-2024","0","-2024"
"1","109","400","10","30","0.1","3","0.08","""1040849384""","-2274","-2274","-2274","0","-2274"
"1","110","400","10","30","0.1","3","0.08","""953663116""","-2210","-2210","-2210","0","-2210"
"1","111","400","10","30","0.1","3","0.08","""-1329312626""","-1774","-1774","-1774","0","-1774"
"1","112","400","10","30","0.1","3","0.08","""1705143959""","-275","-275","-275","0","-275"
