"search-number","evaluation","power-plants*","initial-population*","birth-rate*","polluting-rate*","planting-rate*","fitness","num-replicates","best-fitness-so-far"
"1","8","13","30","0.1","3","0.09","-1876.25","8","-1876.25"
"1","16","2","30","0.1","3","0.07","-222","8","-222"
"1","24","13","30","0.1","3","0.04","648.375","8","648.375"
"1","32","3","30","0.1","3","0.02","289.75","8","648.375"
"1","40","14","30","0.1","3","0.04","236.5","8","648.375"
"1","48","3","30","0.1","3","0.03","186.875","8","648.375"
"1","56","7","30","0.1","3","0.02","360.75","8","648.375"
"1","64","17","30","0.1","3","0.07","-1475.5","8","648.375"
"1","72","6","30","0.1","3","0.04","3.125","8","648.375"
"1","80","15","30","0.1","3","0.02","642.75","8","648.375"
"1","88","5","30","0.1","3","0.1","-1230.625","8","648.375"
"1","96","11","30","0.1","3","0.01","464.375","8","648.375"
"1","104","1","30","0.1","3","0","381.25","8","648.375"
"1","112","10","30","0.1","3","0.08","-1740.75","8","648.375"
"1","120","12","30","0.1","3","0","3.75","8","648.375"
"1","128","0","30","0.1","3","0.02","241.375","8","648.375"
"1","136","8","30","0.1","3","0","0","8","648.375"
"1","144","0","30","0.1","3","0.01","689.25","8","689.25"
"1","152","6","30","0.1","3","0.08","-978.25","8","689.25"
"1","160","17","30","0.1","3","0.09","-3927","8","689.25"
"1","168","4","30","0.1","3","0.03","240.125","8","689.25"
"1","176","4","30","0.1","3","0.05","-137.75","8","689.25"
"1","184","0","30","0.1","3","0.03","187.75","8","689.25"
"1","192","9","30","0.1","3","0.07","-883.75","8","689.25"
"1","200","17","30","0.1","3","0","0","8","689.25"
"1","208","10","30","0.1","3","0.02","692.5","8","692.5"
"1","216","14","30","0.1","3","0.02","1646.875","8","1646.875"
"1","224","0","30","0.1","3","0.07","-368.125","8","1646.875"
"1","232","8","30","0.1","3","0.02","338.25","8","1646.875"
"1","240","5","30","0.1","3","0.09","-1145","8","1646.875"
"1","248","6","30","0.1","3","0.02","294.5","8","1646.875"
"1","256","6","30","0.1","3","0.09","-678.875","8","1646.875"
"1","264","16","30","0.1","3","0.04","1030.875","8","1646.875"
"1","272","5","30","0.1","3","0.04","65.125","8","1646.875"
"1","280","18","30","0.1","3","0","0","8","1646.875"
"1","288","3","30","0.1","3","0.07","-332.75","8","1646.875"
"1","296","3","30","0.1","3","0","151.75","8","1646.875"
"1","304","20","30","0.1","3","0.09","-5529.5","8","1646.875"
"1","312","17","30","0.1","3","0.02","1352.375","8","1646.875"
"1","320","13","30","0.1","3","0.08","-2210","8","1646.875"
"1","328","5","30","0.1","3","0.05","-101.25","8","1646.875"
"1","336","19","30","0.1","3","0.08","-1727.875","8","1646.875"
"1","344","10","30","0.1","3","0.02","374.125","8","1646.875"
"1","352","7","30","0.1","3","0","15","8","1646.875"
"1","360","10","30","0.1","3","0.06","-577.125","8","1646.875"
"1","368","1","30","0.1","3","0.02","219","8","1646.875"
"1","376","15","30","0.1","3","0.07","-1514.125","8","1646.875"
"1","384","8","30","0.1","3","0.05","-86.25","8","1646.875"
